street_address,phone_number,zip_code,has_501c3,fips_county_code,bed_count,city,state_or_region,name_common,name_legal,ccn,facility_type,medicare_medicaid_eligible,lat,lon,ein
310 woodstown road,8569351000,8079,,033,126,salem,NJ,salem medical center,,310091,Short Term,true,,,
750 brunswick ave,6093946000,8638,,021,237,trenton,NJ,capital health regional medical center,,310092,Short Term,true,,,
111 central avenue,9738775350,7102,true,013,358,newark,NJ,saint michael's medical center,,310096,Short Term,true,,,
65 james street,7323217000,8820,,023,459,edison,NJ,jfk university medical center,,310108,Short Term,true,,,
one hamilton health place,6095867900,8690,,021,248,hamilton,NJ,robert wood johnson university hospital hamilton,,310110,Short Term,true,,,
901 west main street,7322947012,7728,,025,273,freehold,NJ,centrastate medical center,,310111,Short Term,true,,,
727 n beers st,7327395900,7733,,025,225,holmdel,NJ,bayshore medical center,,310112,Short Term,true,,,
1140 rt 72 w,6095976011,8050,,029,156,manahawkin,NJ,southern ocean medical center,,310113,Short Term,true,,,
651 willow grove st,9088525100,7840,,041,148,hackettstown,NJ,hackettstown medical center,,310115,Short Term,true,,,
55 meadowlands pkwy,2013923200,7094,true,017,200,secaucus,NJ,hudson regional hospital,,310118,Short Term,true,,,
150 bergen st,9739725658,7103,true,013,519,newark,NJ,university hospital,,310119,Short Term,true,,,
250 old hook road,2013831035,7675,true,3,128,westwood,NJ,hackensack meridian health pascack valley medical,,310130,Short Term,true,,,
65 highland avenue,9082340011,7977,,035,102,peapack,NJ,"matheny school & hospital, the",,312014,Long Term,true,,,
"600 river avenue, 4 west",7328063200,8701,,029,50,lakewood,NJ,specialty hospital of central jersey,,312017,Long Term,true,,,
225 williamson st 7 north,9089945412,7207,,039,75,elizabeth,NJ,care one at trinitas regional medical center,,312018,Long Term,true,,,
96 parkway,2012212352,7662,,3,62,rochelle park,NJ,select specialty hospital northeast,,312019,Long Term,true,,,
400 west blackwell street,9735373816,7801,,027,45,dover,NJ,kindred hospital new jersey - morris county,,312020,Long Term,true,,,
"218 a sunset road, 3rd floor",6098355782,8046,,5,69,willingboro,NJ,select specialty hospital-willingboro,,312022,Long Term,true,,,
1925 pacific avenue 5th floor,6094412122,8401,,1,30,atlantic city,NJ,acuity specialty hospital of new jersey,,312023,Long Term,true,,,
495 north 13th street,9735877712,7107,,013,63,newark,NJ,silver lake hospital ltach,,312024,Long Term,true,,,
1199 pleasant valley way,9732436830,7052,,013,336,west orange,NJ,kessler institute for rehabilitation west orange,,313025,Rehabilitation,true,,,
2381 lawrenceville road,6098969500,8648,,021,86,lawrenceville,NJ,st lawrence rehabilitation center,,313027,Rehabilitation,true,,,
14 hospital drive,7322443100,8755,,029,92,toms river,NJ,encompass health rehab hospital of toms river,,313029,Rehabilitation,true,,,
61 w jimmie leeds road,6096527000,8240,,1,80,pomona,NJ,bacharach institute for rehabilitation,,313030,Rehabilitation,true,,,
92 brick road,8569888778,8053,,5,61,marlton,NJ,"kessler institute for rehabilitation,inc",,313032,Rehabilitation,true,,,
2 centre plaza,7324605320,7724,,025,60,tinton falls,NJ,encompass health rehab hospital of tinton falls,,313035,Rehabilitation,true,,,
1237 w sherman avenue,8566967100,8360,,011,41,vineland,NJ,encompass health rehab hospital of vineland,,313036,Rehabilitation,true,,,
200 madison avenue,9735497440,7940,,027,38,madison,NJ,atlantic rehabilitation institute,,313038,Rehabilitation,true,,,
200 somerset street,7322587050,8901,,023,90,new brunswick,NJ,children's specialized hospital,,313300,Childrens Hospitals,true,,,
"92 brick road, 3rd floor",8564894520,8053,,5,30,marlton,NJ,weisman childrens rehabilitation hospital,,313302,Childrens Hospitals,true,,,
19 prospect st,9085227000,7901,,039,126,summit,NJ,summit oaks hospital,,314001,Psychiatric,true,,,
ancora branch,6095611700,8037,,1,709,hammonton,NJ,ancora psych hosp,,314005,Psychiatric,true,,,
671 hoes lane west,7322355900,8854,,023,48,piscataway,NJ,university behavioral health care,,314011,Psychiatric,true,,,
252 route 601,9082811000,8502,,035,281,belle mead,NJ,hackensack meridian health carrier clinic,,314012,Psychiatric,true,,,
station a,6096331586,8625,,021,436,trenton,NJ,trenton psychiatric hosp,,314013,Psychiatric,true,,,
59 koch avenue,9735381800,7950,,027,468,greystone park,NJ,greystone park psych hosp,,314016,Psychiatric,true,,,
425  woodbury turnersville road,8563746500,8012,,7,150,blackwood,NJ,northbrook behavioral health hospital,,314018,Psychiatric,true,,,
301 sicomac ave,2018485805,7481,,3,58,wyckoff,NJ,ramapo ridge behavioral health hospital,,314019,Psychiatric,true,,,
204 grove avenue,9735712801,7009,,013,180,cedar grove,NJ,essex county hospital center,,314020,Psychiatric,true,,,
650 rancocas road,6092677000,8060,,5,125,westampton,NJ,hampton hospital,,314021,Psychiatric,true,,,
1691 highway 9,7329141688,8755,,029,40,toms river,NJ,saint barnabas behavioral health center,,314022,Psychiatric,true,,,
600 pemberton-browns mills road,6098366100,8068,,5,30,pemberton,NJ,aspen hills healthcare center,,314023,Psychiatric,true,,,
595 county avenue,2013695252,7094,,017,84,secaucus,NJ,hudson county meadowview psychiatric h,,314024,Psychiatric,true,,,
40 watchung way,9087715857,7922,,039,44,berkeley heights,NJ,cornerstone behavioral health hospital of union co,,314027,Psychiatric,true,,,
1600 haddon avenue,8567573500,8103,,7,0,camden,NJ,our lady of lourdes medical center,,319800,Transplant Hospitals,true,,,
one robert wood johnson place,7324188365,8901,,023,0,new brunswick,NJ,robert wood johnson university hospital,,319801,Transplant Hospitals,true,,,
30 prospect ave,2019962608,7601,,3,0,hackensack,NJ,hackensack university medical center,,319802,Transplant Hospitals,true,,,
201 lyon avenue at osborne terrace,9733228988,7112,,013,0,newark,NJ,newark beth israel medical center,,319803,Transplant Hospitals,true,,,
94 old short hills road,9733225502,7039,,013,0,livingston,NJ,saint barnabas medical center,,319804,Transplant Hospitals,true,,,
150 bergen street,9739721351,7103,,013,0,newark,NJ,"university hospital, university of medicine and de",,319805,Transplant Hospitals,true,,,
2211 lomas boulevard ne,5052722111,87106,,1,527,albuquerque,NM,unm hospital,,320001,Short Term,true,,,
455 st michael's drive,5059133361,87505,,049,248,santa fe,NM,christus st vincent regional medical center,,320002,Short Term,true,,,
104 legion drive,5054263930,87701,,047,62,las vegas,NM,alta vista regional hospital,,320003,Short Term,true,,,
2669 scenic drive,5754396100,88310,,035,94,alamogordo,NM,gerald champion regional medical center,,320004,Short Term,true,,,
801 west maple street,5056092000,87401,,045,240,farmington,NM,san juan regional medical center inc,,320005,Short Term,true,,,
405 w country club road,5756248722,88201,,5,149,roswell,NM,eastern new mexico medical center,,320006,Short Term,true,,,
601 dr martin luther king jr ave ne,5057278000,87102,,1,254,albuquerque,NM,lovelace medical center,,320009,Short Term,true,,,
1010 spruce street,5057531502,87532,,039,80,espanola,NM,presbyterian espanola hospital,,320011,Short Term,true,,,
4701 montgomery boulevard ne,5057277805,87109,,1,120,albuquerque,NM,lovelace women's hospital,,320017,Short Term,true,,,
2450 south telshor blvd,5755228641,88011,,013,286,las cruces,NM,memorial medical center,,320018,Short Term,true,,,
1400 s broadway,,87901,,051,100,truth or consequences,NM,carrie tingley crippled children hosp,,32001E,,false,,,
1100 central avenue se,5059235364,87106,,1,623,albuquerque,NM,presbyterian hospital,,320021,Short Term,true,,,
"2100 n martin luther king, jr, blvd",5757696332,88101,,9,106,clovis,NM,plains regional medical center,,320022,Short Term,true,,,
,,88310,,035,40,alamogordo,NM,us air force hosp,,32002F,,false,,,
702 n 13th street,5757483333,88210,,015,49,artesia,NM,artesia general hospital,,320030,Short Term,true,,,
3917 west road,5056624201,87544,,028,53,los alamos,NM,los alamos medical center,,320033,Short Term,true,,,
1901 red rock drive,5058637000,87301,,031,69,gallup,NM,rehoboth mckinley christian health care services,,320038,Short Term,true,,,
801 vassar dr ne,5059845780,87106,,1,108,albuquerque,NM,us public health service indian hosp,,32003F,,false,,,
sandia base,,87115,,1,150,albuquerque,NM,us army hosp,,32004F,,false,,,
1700 cerrillos road,5059889821,87501,,049,20,santa fe,NM,santa fe phs indian hospital,,320057,Short Term,true,,,
us hwy 491 north,5053686001,87420,,045,69,shiprock,NM,northern navajo medical center,,320059,Short Term,true,,,
2100 ridgecrest dr se,,87101,,1,483,albuquerque,NM,va hosp,,32005F,,false,,,
route 301 north b street,5057824431,87327,,031,35,zuni,NM,zuni comprehensive community health center,,320060,Short Term,true,,,
516 e nizhoni blvd,5057221000,87301,,031,85,gallup,NM,gallup indian medical center,,320061,Short Term,true,,,
junction of hwy 371,5057865291,87313,,031,20,crownpoint,NM,crownpoint healthcare facility,,320062,Short Term,true,,,
2430 west pierce street,5758874570,88220,,015,116,carlsbad,NM,carlsbad medical center,,320063,Short Term,true,,,
4900 n lovingtgon highway,5754925000,88240,,025,84,hobbs,NM,covenant health hobbs hospital,,320065,Short Term,true,,,
"117 camino de vida, suite 100",5754723417,88435,,019,12,santa rosa,NM,guadalupe county hospital,,320067,Short Term,true,,,
cannon afb,,88101,,9,40,clovis,NM,us air force hosp,,32006F,,false,,,
10501 golf course road nw,5057272001,87114,,1,95,albuquerque,NM,lovelace westside hospital,,320074,Short Term,true,,,
po box 1337,,87301,,031,200,gallup,NM,us public health service indian hosp,,32007F,,false,,,
42121 us highway 70,5753591800,88130,,041,24,portales,NM,roosevelt general hospital,,320084,Short Term,true,,,
4311 east lohman avenue,5755567610,88011,,013,168,las cruces,NM,mountain view regional medical center,,320085,Short Term,true,,,
117 east 19th street,5756253345,88201,,5,26,roswell,NM,lovelace regional hospital - roswell,,320086,Short Term,true,,,
3001 broadmoor blvd ne,5059947402,87144,,043,72,rio rancho,NM,unm sandoval regional medical center,,320089,Short Term,true,,,
4801 beckner road,5057721234,87507,,049,36,santa fe,NM,presbyterian santa fe medical center,,320090,Short Term,true,,,
2560 samaritan drive,5754218274,88001,,013,46,las cruces,NM,three crosses regional hospital llc,,320091,Short Term,true,,,
1250 n sonoma ranch blvd,9153134949,88011,,013,1,las cruces,NM,asc of the heart institute,,320093,Short Term,true,,,
p o box 68,,87420,,045,75,shiprock,NM,us public health service indian hosp,,32010F,,false,,,
holloman afb,5755722778,88330,,035,40,holloman afb,NM,us air force hosp,,32011F,,false,,,
p o box 358,5050000000,87313,,031,56,crownpoint,NM,us public health service indian hosp,,32012F,,false,,,
,,88001,,013,50,las cruces,NM,mcafee army hosp,,32013F,,false,,,
535 lake d00017,5054723417,88435,,019,0,santa rosa,NM,guadalupe gen hosp,,32025E,,false,,,
1701 n turner st,,88240,,025,96,hobbs,NM,lea general hosp,,32026E,,false,,,
2201 west ave o-box 827,,88231,,025,16,eunice,NM,eunice municipal hosp,,32027E,,false,,,
535 lake dr,,88435,,019,21,santa rosa,NM,guadalupe general hosp,,32028E,,false,,,
615 prospect ave box 458,5050000000,87747,,7,4,springer,NM,colfax gen hosp,,32031E,,false,,,
800 east 9th avenue,5758942111,87901,,051,15,t or c,NM,sierra vista hospital,,321300,Critical Access Hospitals,true,,,
1202 highway 60 west,5758351140,87801,,053,24,socorro,NM,socorro general hospital,,321301,Critical Access Hospitals,true,,,
301 east miel de luna avenue,5754617000,88401,,037,25,tucumcari,NM,dr dan c trigg memorial hospital,,321302,Critical Access Hospitals,true,,,
300 wilson street,5753747001,88415,,059,25,clayton,NM,union county general hospital,,321304,Critical Access Hospitals,true,,,
1600 north main ave,5753966611,88260,,025,25,lovington,NM,nor-lea hospital district,,321305,Critical Access Hospitals,true,,,
211 sudderth drive,5752572800,88345,,027,25,ruidoso,NM,lincoln county medical center,,321306,Critical Access Hospitals,true,,,
203 hospital drive,5754453661,87740,,7,25,raton,NM,miners' colfax medical center,,321307,Critical Access Hospitals,true,,,
1016 e roosevelt avenue,5052875300,87020,,6,25,grants,NM,cibola general hospital,,321308,Critical Access Hospitals,true,,,
900 w ash,5755465802,88030,,029,49,deming,NM,mimbres memorial hospital,,321309,Critical Access Hospitals,true,,,
1397 weimer road,5757588883,87571,,055,25,taos,NM,holy cross hospital a div of taos health systems,,321310,Critical Access Hospitals,true,,,
1313 e 32nd st,5755384100,88061,,017,25,silver city,NM,gila regional medical center,,321311,Critical Access Hospitals,true,,,
700 high street ne,5052424444,87102,true,1,61,albuquerque,NM,kindred hospital  albuquerque,,322002,Long Term,true,,,
5400 gibson blvd se 3rd floor,5058425550,87108,true,1,32,albuquerque,NM,"albuquerque - amg specialty hospital, llc",,322003,Long Term,true,,,
4451 east lohman avenue,5755216600,88011,true,013,20,las cruces,NM,advanced care hospital of southern new mexico llc,,322004,Long Term,true,,,
72 gail harris avenue,5753473400,88203,true,5,43,roswell,NM,new mexico rehabilitation center,,323026,Rehabilitation,true,,,
7000 jefferson street ne,5053449478,87109,true,1,87,albuquerque,NM,encompass health rehabilitation hospital of albuqu,,323027,Rehabilitation,true,,,
505 elm street ne,5057274781,87102,true,1,62,albuquerque,NM,lovelace unm rehabilitation hospital,,323028,Rehabilitation,true,,,
4441 e lohman ave,5755216400,88011,true,013,56,las cruces,NM,"rehabilitation hospital of southern new mexico,inc",,323032,Rehabilitation,true,,,
2401 westside blvd,5052709792,87124,true,043,25,rio rancho,NM,clearsky rehabilitation hospital of rio rancho llc,,323033,Rehabilitation,true,,,
3751 del rey boulevard,5753823500,88012,true,013,120,las cruces,NM,"bhc mesilla valley hospital, llc",,324010,Psychiatric,true,,,
"5065 mcnutt road (bldg's a, b, c & d)",5755893000,88008,true,013,88,santa teresa,NM,"peak behavioral health services, llc",,324012,Psychiatric,true,,,
"5400 gibson boulevard se, 4th floor box# 8",5052544500,87108,true,1,48,albuquerque,NM,haven behavioral hospital of albuquerque,,324013,Psychiatric,true,,,
1525 n renaissance blvd ne,5052433387,87102,true,1,26,albuquerque,NM,central desert behavioral health hospital,,324014,Psychiatric,true,,,
1100 central se,5058411275,87102,,1,0,albuquerque,NM,presbyterian healthcare transplant,,329801,Transplant Hospitals,true,,,
2211 lomas boulevard ne,5052722583,87106,,1,0,albuquerque,NM,"university hospital, university of new mexico heal",,329802,Transplant Hospitals,true,,,
100 high street,7168598620,14210,,029,986,buffalo,NY,kaleida health,,330005,Short Term,true,,,
127 south broadway,9143787000,10701,,119,332,yonkers,NY,st joseph's medical center,,330006,Short Term,true,,,
400 north main street,5857862233,14569,,121,62,warsaw,NY,wyoming county community hospital,,330008,Short Term,true,,,
1276 fulton avenue,2125887000,10456,true,5,579,bronx,NY,bronxcare hospital center,,330009,Short Term,true,,,
169 riverside drive,6077985111,13905,,7,267,binghamton,NY,"our lady of lourdes memorial hospital, inc",,330011,Short Term,true,,,
"43 new scotland avenue, mail code 34",5182622400,12208,,1,732,albany,NY,albany medical center hospital,,330013,Short Term,true,,,
89th avenue and van wyck expressway,7182626000,11418,,081,424,jamaica,NY,jamaica hospital medical center,,330014,Short Term,true,,,
2525 kings highway,7186925302,11229,,047,134,brooklyn,NY,"new york community hospital of brooklyn, inc.",,330019,Short Term,true,,,
45 reade place,8454548500,12601,,027,365,poughkeepsie,NY,vassar brothers medical center,,330023,Short Term,true,,,
one gustave l levy place,2122417981,10029,,061,1171,new york,NY,mount sinai hospital,,330024,Short Term,true,,,
2201 hempstead turnpike,5165720123,11554,,059,530,east meadow,NY,nassau university medical center,,330027,Short Term,true,,,
355 bard avenue,7188181234,10310,,085,473,staten island,NY,richmond university medical center,,330028,Short Term,true,,,
111 driving park avenue,3153322022,14513,,117,120,newark,NY,newark-wayne community hospital,,330030,Short Term,true,,,
179 north broad street,6073374111,13815,,017,58,norwich,NY,chenango memorial hospital,,330033,Short Term,true,,,
301 east main street,6319683000,11706,,103,341,bay shore,NY,south shore university  hospital,,330043,Short Term,true,,,
1656 champlin avenue,3157986000,13413,,065,372,new hartfd,NY,faxton-st luke's healthcare,,330044,Short Term,true,,,
270 park avenue,6313512000,11743,,103,408,huntington,NY,huntington hospital,,330045,Short Term,true,,,
1000 tenth avenue,2125234000,10019,,061,1028,new york,NY,mount sinai west,,330046,Short Term,true,,,
427 guy park avenue,5188417101,12010,,057,149,amsterdam,NY,st mary's healthcare,,330047,Short Term,true,,,
6511 springbrook avenue,8458713391,12572,,027,68,rhinebeck,NY,northern dutchess hospital,,330049,Short Term,true,,,
56-45 main street,7186702000,11355,,081,535,flushing,NY,new york-presbyterian/queens,,330055,Short Term,true,,,
121 dekalb avenue,7182508000,11201,,047,464,brooklyn,NY,brooklyn hospital center - downtown campus,,330056,Short Term,true,,,
315 south manning boulevard,5185251550,12208,,1,482,albany,NY,st peter's hospital,,330057,Short Term,true,,,
196 -198 north street,3157874175,14456,,069,132,geneva,NY,geneva general hospital,,330058,Short Term,true,,,
111 east 210th street,7189204321,10467,,5,1491,bronx,NY,montefiore medical center,,330059,Short Term,true,,,
621 tenth street,7162784000,14302,,063,171,niagara falls,NY,niagara falls memorial medical center,,330065,Short Term,true,,,
127 north street,5853436030,14020,,037,166,batavia,NY,united memorial medical center,,330073,Short Term,true,,,
350 parrish street,5853966000,14424,,069,113,canandaigua,NY,f f thompson hospital,,330074,Short Term,true,,,
2157 main street,7168621000,14214,,029,413,buffalo,NY,sisters of charity hospital,,330078,Short Term,true,,,
"2233 state route 86, po box 471",5188914141,12983,,033,95,saranac lake,NY,adirondack medical center - saranac lake,,330079,Short Term,true,,,
234 east 149th street,7185795000,10451,,5,586,bronx,NY,lincoln medical & mental health center,,330080,Short Term,true,,,
"133 park street, po box 729",5184833000,12953,,033,76,malone,NY,alice hyde medical center,,330084,Short Term,true,,,
one norton avenue,6074322000,13820,,077,60,oneonta,NY,aurelia osborn fox memorial hospital,,330085,Short Term,true,,,
12 north 7th avenue,9146648000,10550,,119,245,mount vernon,NY,montefiore mount vernon hospital,,330086,Short Term,true,,,
600 roe avenue,6077374100,14905,,015,266,elmira,NY,arnot ogden medical center,,330090,Short Term,true,,,
71 prospect avenue,5188287601,12534,,021,124,hudson,NY,columbia memorial hospital,,330094,Short Term,true,,,
191 north main street,5855931100,14895,,3,49,wellsville,NY,jones memorial hospital,,330096,Short Term,true,,,
113 holland ave,5551234567,12208,,1,975,albany,NY,va hosp,,33009F,,false,,,
230 second ave,2129794000,10003,,061,69,new york,NY,n y eye and ear infirmary,,330100,Short Term,true,,,
525 east 68th street,2127465454,10065,,061,2262,new york,NY,new york-presbyterian hospital,,330101,Short Term,true,,,
2950 elmwood avenue,7164476100,14217,true,029,184,kenmore,NY,kenmore mercy hospital,,330102,Short Term,true,,,
515 main street,7163732600,14760,true,9,186,olean,NY,olean general hospital,,330103,Short Term,true,,,
160 north midland avenue,8453482000,10960,,087,375,nyack,NY,nyack hospital,,330104,Short Term,true,,,
300 community drive,5165620100,11030,,059,812,manhasset,NY,north shore university hospital,,330106,Short Term,true,,,
1 heros way,6315486000,11901,,103,122,riverhead,NY,peconic bay medical center,,330107,Short Term,true,,,
,5551234567,14020,,037,246,batavia,NY,va hosp,,33010F,,false,,,
224 east main street,7165922871,14141,true,029,49,springville,NY,bertrand chaffee hospital,,330111,Short Term,true,,,
321 genesee street,3153636000,13421,,053,101,oneida,NY,oneida health,,330115,Short Term,true,,,
100 east 77th street,2124392345,10021,,061,652,new york,NY,lenox hill hospital,,330119,Short Term,true,,,
,5551234567,14810,,101,208,bath,NY,va hosp,,33011F,,false,,,
1425 portland avenue,5859224000,14621,,055,528,rochester,NY,rochester general hospital,,330125,Short Term,true,,,
707 east main street,8453432424,10940,,071,450,middletown,NY,garnet health medical center,,330126,Short Term,true,,,
1400 pelham parkway south,7189185000,10461,,5,457,bronx,NY,jacobi medical center,,330127,Short Term,true,,,
79-01 broadway,7183341141,11373,,081,545,elmhurst,NY,elmhurst hospital center,,330128,Short Term,true,,,
3495 bailey ave,5551234567,14215,,029,899,buffalo,NY,va hosp,,33012F,,false,,,
160 east main street,8458565351,12771,true,071,141,port jervis,NY,bon secours community hospital,,330135,Short Term,true,,,
one atwell road,6075473456,13326,,077,180,cooperstown,NY,mary imogene bassett hospital,,330136,Short Term,true,,,
ft hill ave,5551234567,14424,,069,1513,canandaigua,NY,va hosp,,33013F,,false,,,
301 prospect avenue,3154485111,13203,,067,431,syracuse,NY,st joseph's hospital health center,,330140,Short Term,true,,,
101 hospital road,6316547100,11772,,103,306,patchogue,NY,long island community hospital,,330141,Short Term,true,,,
7571 state route 54,6077768500,14810,,101,66,bath,NY,ira davenport memorial hospital,,330144,Short Term,true,,,
,5551234567,12511,,027,258,castle point,NY,va hosp,,33014F,,false,,,
7329 seneca road north,6073248000,14843,true,101,157,hornell,NY,st james hospital,,330151,Short Term,true,,,
1101 nott street,5182434000,12308,,093,368,schenectady,NY,ellis hospital,,330153,Short Term,true,,,
1275 york avenue,2126392000,10065,,061,514,new york,NY,memorial hospital for cancer and allied diseases,,330154,Short Term,true,,,
830 washington street,3157854121,13601,,045,287,watertown,NY,samaritan medical center,,330157,Short Term,true,,,
255 lafayette avenue,8453685000,10901,true,087,269,suffern,NY,good samaritan hospital of suffern,,330158,Short Term,true,,,
,5551234567,10548,,119,1773,montrose,NY,va hosp,,33015F,,false,,,
475 seaview avenue,4182269761,10305,,085,714,staten island,NY,staten island university hospital,,330160,Short Term,true,,,
400 east main street,9146661200,10549,,119,259,mount kisco,NY,northern westchester hospital,,330162,Short Term,true,,,
521 east avenue,7165145700,14094,,063,134,lockport,NY,eastern niagara hospital - lockport division,,330163,Short Term,true,,,
1000 south avenue,5853416736,14620,,055,261,rochester,NY,highland hospital,,330164,Short Term,true,,,
189 east main street,7163264921,14787,,013,4,westfield,NY,"westfield memorial hospital, inc",,330166,Short Term,true,,,
first avenue at 16th street,2124202000,10003,,061,1111,new york,NY,mount sinai beth israel,,330169,Short Term,true,,,
130 w kingsbridge rd,5551234567,10468,,5,1192,bronx,NY,va hosp,,33016F,,false,,,
134 homer avenue,6077563501,13045,,023,181,cortland,NY,guthrie cortland regional medical center,,330175,Short Term,true,,,
1st ave + e 24th st,5551234567,10010,,061,1140,new york,NY,va hosp,,33017F,,false,,,
2215 burdett avenue,5184273402,12180,,083,238,troy,NY,samaritan hospital,,330180,Short Term,true,,,
101 st andrews lane,5166747300,11542,,059,247,glen cove,NY,glen cove hospital,,330181,Short Term,true,,,
100 port washington boulevard,5165626000,11576,true,059,364,roslyn,NY,"st francis hospital, roslyn",,330182,Short Term,true,,,
16 guion place,9146325000,10802,,119,242,new rochelle,NY,montefiore new rochelle hospital,,330184,Short Term,true,,,
75 north country road,6314731320,11777,,103,248,port jefferson,NY,john t mather memorial hospital  of port jefferson,,330185,Short Term,true,,,
5300 military road,7162974800,14092,true,063,179,lewiston,NY,mount st mary's hospital and  health center,,330188,Short Term,true,,,
linden blvd,5551234567,11425,,081,1000,jamaica,NY,us naval hosp,,33018F,,false,,,
100 park street,5189261000,12801,,113,442,glens falls,NY,glens falls hospital,,330191,Short Term,true,,,
45th avenue and parsons boulevard,7186705000,11355,,081,293,flushing,NY,flushing hospital medical center,,330193,Short Term,true,,,
4802 tenth avenue,7182836000,11219,,047,711,brooklyn,NY,maimonides medical center,,330194,Short Term,true,,,
270 - 05 76th avenue,7184707000,11040,,081,1025,new hyde park,NY,long island jewish medical center,,330195,Short Term,true,,,
2601 ocean parkway,7186163000,11235,,047,371,brooklyn,NY,south brooklyn health,,330196,Short Term,true,,,
50 leroy street,3152653300,13676,,089,94,potsdam,NY,canton-potsdam hospital,,330197,Short Term,true,,,
one healthy way,5166323000,11572,,059,435,oceanside,NY,mount sinai south nassau,,330198,Short Term,true,,,
1901 first avenue,2124236262,10029,,061,363,new york,NY,metropolitan hospital center,,330199,Short Term,true,,,
79 middleville rd,6312614400,11768,,103,2272,northport,NY,va hosp,,33019F,,false,,,
451 clarkson avenue,7182453901,11203,,047,639,brooklyn,NY,kings county hospital center,,330202,Short Term,true,,,
736 irving avenue,3154707449,13210,,067,466,syracuse,NY,crouse hospital,,330203,Short Term,true,,,
462 first avenue,2125624141,10016,,061,912,new york,NY,bellevue hospital center,,330204,Short Term,true,,,
15 maple avenue -19,8459862276,10990,true,071,60,warwick,NY,st anthony community hospital,,330205,Short Term,true,,,
976 north broadway,9149644444,10701,,119,385,yonkers,NY,st john's riverside hospital,,330208,Short Term,true,,,
800 poly pl,5551234567,11209,,047,1000,brooklyn,NY,va hosp,,33020F,,false,,,
214 king street,3153933600,13669,,089,130,ogdensburg,NY,claxton-hepburn medical center,,330211,Short Term,true,,,
550 first avenue,2122637300,10016,,061,1069,new york,NY,nyu langone hospitals,,330214,Short Term,true,,,
1500 north james street,3153387000,13440,,065,144,rome,NY,"rome memorial hospital, inc",,330215,Short Term,true,,,
110 west sixth street,3153495511,13126,,075,132,oswego,NY,oswego hospital,,330218,Short Term,true,,,
462 grider street,7168983936,14215,,029,526,buffalo,NY,erie county medical center,,330219,Short Term,true,,,
bay + vanderbilt sts,5551234567,10301,,085,708,staten island,NY,us public health service hosp,,33021F,,false,,,
374 stockholm street,7189637272,11237,,047,324,brooklyn,NY,wyckoff heights medical center,,330221,Short Term,true,,,
211 church street,5185873222,12866,,091,171,saratoga springs,NY,saratoga hospital,,330222,Short Term,true,,,
1 hospital drive,3157641711,13662,,089,25,massena,NY,massena hospital inc,,330223,Short Term,true,,,
105 mary's avenue,8453382500,12401,true,111,222,kingston,NY,healthalliance hospital marys avenue campus,,330224,Short Term,true,,,
1555 long pond road,5857237000,14626,,055,311,rochester,NY,unity hospital of rochester,,330226,Short Term,true,,,
529 central avenue,7163661111,14048,,013,65,dunkirk,NY,"brooks-tlc hospital system, inc",,330229,Short Term,true,,,
plattsburgh afb,5551234567,12903,,019,63,plattsburgh,NY,us air force hosp,,33022F,,false,,,
82-68 164th street,7188833000,11432,,081,581,jamaica,NY,queens hospital center,,330231,Short Term,true,,,
1 brookdale plaza,7182405966,11212,,047,1120,brooklyn,NY,brookdale hospital medical center,,330233,Short Term,true,,,
100 woods rd,9144937000,10595,,119,895,valhalla,NY,westchester medical center,,330234,Short Term,true,,,
17 lansing street,3152557011,13021,,011,99,auburn,NY,auburn  community  hospital,,330235,Short Term,true,,,
506 sixth street,7187803031,11215,,047,591,brooklyn,NY,new york-presbyterian brooklyn methodist hospital,,330236,Short Term,true,,,
111  clara barton street,5853356001,14437,,051,72,dansville,NY,nicholas h noyes memorial hospital,,330238,Short Term,true,,,
207 foote avenue,7164870141,14701,,013,88,jamestown,NY,upmc chautauqua at wca,,330239,Short Term,true,,,
griffiss afb,5551234567,13440,,065,80,rome,NY,us air force hosp,,33023F,,false,,,
506 lenox avenue,2129391000,10037,,061,268,new york,NY,harlem hospital center,,330240,Short Term,true,,,
750 east adams street,3154734240,13210,true,067,430,syracuse,NY,university hospital s u n y health science center,,330241,Short Term,true,,,
2209 genesee street,3157988100,13501,,065,217,utica,NY,st elizabeth medical center,,330245,Short Term,true,,,
200 belle terre road,6314746000,11777,true,103,231,port jefferson,NY,st charles hospital,,330246,Short Term,true,,,
irving ave + university place,5551234567,13210,,067,398,syracuse,NY,va hosp,,33024F,,false,,,
75 beekman street,5185627767,12901,,019,300,plattsburgh,NY,the university of vermont health network  - champl,,330250,Short Term,true,,,
1000 north village avenue,5167052525,11570,,059,375,rockville centre,NY,mercy medical center,,330259,Short Term,true,,,
900 washington road,5551234567,10996,,071,130,west point,NY,west point kessler army community hospital,,33025F,,false,,,
701 n broadway,9143663000,10591,,119,235,sleepy hollow,NY,phelps hospital,,330261,Short Term,true,,,
70 dubois street,8455614400,12550,,071,244,newburgh,NY,st luke's cornwall hospital,,330264,Short Term,true,,,
2 coulter road,3154629561,14432,,069,154,clifton springs,NY,clifton springs hospital and clinic,,330265,Short Term,true,,,
1980 crompond road,9147343611,10567,,119,128,cortlandt manor,NY,hudson valley hospital center,,330267,Short Term,true,,,
535 east 70th street,2126061000,10021,,061,205,new york,NY,hospital for special surgery,,330270,Short Term,true,,,
